1,
10,
108,
11,
12,
13,
14,
14 de Agosto,
15 de Novembro,
1 do Bairro de Casas Economicas de Ramalde,
1º de Dezembro,
2,
209,
24 de Agosto,
25 de Abril,
25 de Julho,
29,
2 do Bairro de Casas Economicas de Ramalde,
3,
31 de Janeiro,
3 de Fevereiro,
3 do Bairro de Casas Economicas de Ramalde,
4,
5,
5 de Outubro,
6,
7,
8,
8 de Setembro,
9,
Aarão de Lacerda,
Abeilard Gomes da Silva,
Abel Salazar,M
Abetos,
Abílio,M
Abílio Cardoso,M
Abraços,
Abraços de Ramalde,
Acácias,
Acácio da Silva Gomes,M
Acácio Lino,M
Académico Futebol Club,
Açores,
Açucenas,
Adelaide Estrada,F
Adelino Amaro da Costa,M
Adolfo Casais Monteiro,M
Adriano Correia de Oliveira,M
Adriano de Paiva,M
Adro,
Adro da Foz,
Afectos,
Afonso Baldaia,M
Afonso de Albuquerque,M
Afonso de Aveiro,M
Afonso de Paiva,M
Afonso Domingues,M
Afonso Henriques,M
Afonso Lopes Vieira,M
Afonso Martins Alho,M
Afonso Pinto de Magalhães,M
Afonso V,M
Afonso Valentim,M
Afrânio Peixoto,
Agostinho da Silva,M
Agostinho de Campos,M
Agostinho de Jesus e Sousa,M
Agostinho José Freire,M
Agostinho Ricca,M
Agra,
Agra de Ramalde,
Agra do Amial,
Agramonte,
A Grinalda,
Águas,
Águas Férreas,
Águas Férreas de Campanhã,
Aguda,
Águeda,
Aires Borges,M
Aires de Gouveia Osório,M
Aires de Ornelas,M
Airosa,
Ajuda,
Álamos,
Albertina de Sousa Paraíso,F
Alberto Aires de Gouveia,M
Alberto Carlos Correia da Silva,M
Alberto de Aguiar,M
Alberto de Macedo,M
Alberto de Oliveira,M
Alberto de Sousa Costa,M
Alberto José Guimarães,M
Alberto Pimentel,M
Alberto Saavedra,M
Alberto Sampaio,M
Alberto Serpa,M
Albino Moreira,M
Albufeira,
Alcácer Ceguér,
Alcaide de Faria,
Alcântara,
Aldas,
Aldeia,
Alecrim,
Alegre,
Alegria,
Aleixo,
Aleixo da Mota,
Alexandre,M
Alexandre Braga,M
Alexandre Fleming,M
Alexandre Herculano,M
Alexandre Sá Pinto,M
Alfageme de Santarém,
Alfândega,
Alfredo Allen,M
Alfredo de Magalhães,M
Alfredo Ferreira Faria,M
Alfredo Keil,M
Alfredo Nunes de Matos,M
Algés,
Aliados,
Aliança,
Alijó,
Aljubarrota,
Almada,
Almas,
Almeida Garrett,
Almeida Valente,
Almoster,
Alto,
Alto da Arrábida,
Alto da Bela,
Alto da Fontinha,
Alto de Vila,
Alto do Mato,
Alto do Viso,
Alvalade,
Álvares Cabral,
Álvaro de Castelões,M
Álvaro Ferreira Alves,M
Álvaro Gomes,M
Álvaro Rodrigues,M
Alves da Veiga,
Alves Redol,
Amadeu Sousa Cardoso,M
Amália Luazes,F
Amândio Galhano,M
Amândio Tavares,M
Amarante,
Amaro,M
Ameixial,
Amélia,F
Amendoeiras,
Américo,M
Américo Gomes,M
Amial,
Amieira,
Amigos do Porto,
Amor de Perdição,
Amorim,
Amorim de Carvalho,
Amparo,
Ana Plácido,F
Anastácia,F
Anastácio Ramos,M
Ancira,
Âncora,
Andorinhas,
André,M
André Álvares de Almada,M
André de Resende,M
Andrezas,
Anémonas,
Ângelo das Neves,M
Ângelo Frondoni,M
Angola,
Aníbal Cunha,M
Anjo,
Anjo da Guarda,
Anjos,
Anselmo Braamcamp,M
Antão,
Antão de Almeida Garrett,
Antas,
Antero Antunes de Albuquerque,M
Antero de Araújo,M
Antero de Figueiredo,M
Antero de Quental,M
Antonino,M
António Aroso,M
António Arroio,M
António Augusto Pinto Félix,M
António Barroso,M
António Bernardino de Almeida,M
António Bessa Leite,M
António Borges,M
António Calém,M
António Cândido,M
António Cardoso,M
António Carneiro,M
António Coelho,M
António Correia da Silva,M
António Coutinho,M
António Cruz,M
António Cupertino de Miranda,M
António das Antas,M
António da Silva Cunha,M
António da Silva Marinho,M
António de Almeida,M
António de Contumil,M
António de Sousa e Silva,M
António de Sousa Macedo,M
António Emílio de Magalhães,M
António Enes,M
António Ferreira Braga,M
António Ferreira Gomes,M
António Galvão,M
António Granjo,M
António José da Costa,M
António José da Silva,M
António José de Almeida,M
António Luís Gomes,M
António Macedo,M
António Maria de Sena,M
António Mariz Carneiro,M
António Meireles,M
António Nicolau D'Almeida,M
António Nobre,M
António Patrício,M
António Pedro,M
António Pinheiro Caldas,M
António Pinto Machado,M
António Ramalho,M
António Ramos de Almeida,M
António Ricca Gonçalves,M
António Saldanha,M
António Salgado Júnior,M
António Sérgio,M
António Soares Pacheco,M
António Vieira,M
Antunes,
Antunes Guimarães,
Aquilino Ribeiro,
Arada,
Arco da Noeda,
Arcos,
Arcos da Ribeira,
Areias,
A Renascença Portuguesa,
Areosa,
Argentina,F
Arístides de Sousa Mendes,
Armando Alves Tavares,M
Armando Campos,M
Armando Cardoso,M
Armando de Castro,M
Armando Laroze Rocha,M
Armando Pimentel,M
Armazéns,
Arménia,
Arménio Losa,
Arnaldo Gama,M
Arnaldo Leite,M
Arouca,
Arpad Szenes,
Arrabalde,
Arrábida,
