cod_distrito,cod_concelho,cod_localidade,nome_localidade,cod_arteria,tipo_arteria,prep1,titulo_arteria,prep2,nome_arteria,local_arteria,troco,porta,cliente,num_cod_postal,ext_cod_postal,desig_postal
13,12,38332,Porto,10001213,Rua,,São,,João do Porto,,,,,4150,385,PORTO
13,12,38332,Porto,10011213,Rua,,,,Grupo 10 de Maio,,,,,4200,315,PORTO
13,12,38332,Porto,1001213,Rua,de,,,Almoster,Bairro São Roque da Lameira,,,,4350,028,PORTO
13,12,38332,Porto,100138100,Rua,,,,Agostinho Ricca,,,,,4250,159,PORTO
13,12,38332,Porto,10021213,Rua,,,,Guadiana,,,,,4200,316,PORTO
13,12,38332,Porto,10031213,Rua,,,,Guedes de Azevedo,,Capela Módicos,,,4000,271,PORTO
13,12,38332,Porto,10031213,Rua,,,,Guedes de Azevedo,,Impares de 179 a 245,,,4000,273,PORTO
13,12,38332,Porto,10031213,Rua,,,,Guedes de Azevedo,,Impares de 7 a 135,,,4000,272,PORTO
13,12,38332,Porto,10031213,Rua,,,,Guedes de Azevedo,,Pares de 34 a 246,,,4000,271,PORTO
13,12,38332,Porto,10031213,Rua,,,,Guedes de Azevedo,,,212,CENTRO DE EMPREGO E FORMAÇÃO PROFISSIONAL,4049,008,PORTO
13,12,38332,Porto,10051213,Rua,,,,Guerra Junqueiro,,Bomba Galp,,,4150,387,PORTO
13,12,38332,Porto,10051213,Rua,,,,Guerra Junqueiro,,Impares de 11 a 291,,,4150,388,PORTO
13,12,38332,Porto,10051213,Rua,,,,Guerra Junqueiro,,Impares de 321 a 629,,,4150,389,PORTO
13,12,38332,Porto,10051213,Rua,,,,Guerra Junqueiro,,Pares de 36 a 438,,,4150,386,PORTO
13,12,38332,Porto,10051213,Rua,,,,Guerra Junqueiro,,Pares de 452 a 670,,,4150,387,PORTO
13,12,38332,Porto,10051213,Rua,,,,Guerra Junqueiro,,,389,W MINNEMANN & RIBAS LDA,4169,009,PORTO
13,12,38332,Porto,10061213,Rua,,,,Guilherme Braga,,Impares de 63 a 273,,,4150,391,PORTO
13,12,38332,Porto,10061213,Rua,,,,Guilherme Braga,,Pares de 50 a 260,,,4150,390,PORTO
13,12,38332,Porto,10071213,Rua,,,,Guilherme Costa Carvalho,,,,,4000,274,PORTO
13,12,38332,Porto,10081213,Praça,,,,Guilherme Gomes Fernandes,,Impares de 1 a 71,,,4050,293,PORTO
13,12,38332,Porto,10081213,Praça,,,,Guilherme Gomes Fernandes,,Pares de 10 a 108,,,4050,294,PORTO
13,12,38332,Porto,10091213,Rua,,,,Guilhermina Suggia,,,,,4200,318,PORTO
13,12,38332,Porto,10111213,Escadas,,,,Guindais,,Impares de 1 a 43,,,4000,277,PORTO
13,12,38332,Porto,10111213,Escadas,,,,Guindais,,Pares de 2 a 80,,,4000,276,PORTO
13,12,38332,Porto,1011213,Rua,,,,Alto,,Impares de 7 a 19,,,4200,036,PORTO
13,12,38332,Porto,1011213,Rua,,,,Alto,,Pares de 6 a 20,,,4200,035,PORTO
13,12,38332,Porto,10121213,Rua,,,,Guiné,Bairro Fonte da Moura,,,,4100,276,PORTO
13,12,38332,Porto,101213,Rua,,,,Açores,,,,,4250,014,PORTO
13,12,38332,Porto,101219100,Parque,,,,Residêncial do Lima,,,,,4200,026,PORTO
13,12,38332,Porto,10131213,Rua,,,,Henrique Alegria,Bairro da Mouteira,Impares de 15 a 175A,,,4150,393,PORTO
13,12,38332,Porto,10131213,Rua,,,,Henrique Alegria,Bairro da Mouteira,Pares de 38 a 52,,,4150,392,PORTO
